series,pair_name,shift_deg,delta_e_mean,delta_e_p90,n_pixels_a,n_pixels_b
A,skirt_hue_shift_000deg,0,0.34,12.49,498217,498217
A,skirt_hue_shift_005deg,5,1.76,12.72,498217,498217
A,skirt_hue_shift_010deg,10,4.9,13.99,498217,498217
A,skirt_hue_shift_015deg,15,6.95,15.38,498217,498217
A,skirt_hue_shift_020deg,20,10.07,17.9,498217,498217
A,skirt_hue_shift_030deg,30,15.11,22.84,498217,498217
A,skirt_hue_shift_045deg,45,20.72,27.89,498217,498217
A,skirt_hue_shift_060deg,60,24.05,30.76,498217,498217
A,skirt_hue_shift_090deg,90,30.8,37.0,498217,498217
A,skirt_hue_shift_120deg,120,29.38,34.81,498217,498217
A,skirt_hue_shift_150deg,150,28.33,33.12,498217,498217
A,skirt_hue_shift_180deg,180,28.18,31.89,498217,498217
B,skirt_front_vs_back,,3.99,13.69,498217,609557
B,blouse_front_vs_back,,5.19,19.65,191292,185824
C,skirt_vs_belt,,7.48,14.92,498217,371788
C,skirt_vs_shoes,,19.93,26.62,498217,255513
C,skirt_vs_blouse,,50.25,57.98,498217,191292
