series,pair,shift,dE_mean,dE_p90,l_shift
A,skirt_hue_0deg,0,0.28,9.48,0.15
A,skirt_hue_5deg,5,1.78,9.75,-0.56
A,skirt_hue_10deg,10,5.06,11.14,-1.71
A,skirt_hue_15deg,15,7.2,12.59,-2.48
A,skirt_hue_20deg,20,10.36,14.7,-3.65
A,skirt_hue_30deg,30,14.88,18.54,-5.6
A,skirt_hue_45deg,45,19.77,22.52,-6.95
A,skirt_hue_60deg,60,23.37,25.65,-6.09
A,skirt_hue_90deg,90,27.91,29.62,-4.78
A,skirt_hue_120deg,120,29.2,30.93,-4.79
A,skirt_hue_150deg,150,28.24,30.36,-5.31
A,skirt_hue_180deg,180,24.9,27.27,-0.62
B,skirt_f_vs_b,,0.68,9.02,-3.93
B,blouse_f_vs_b,,1.04,10.4,4.97
C,skirt_vs_belt,,5.16,11.05,1.6
C,skirt_vs_shoes,,19.66,22.24,-10.35
C,skirt_vs_blouse,,15.97,18.92,48.56
Pool,blouse_navy_0deg,0,0.25,7.64,0.2
Pool,blouse_navy_2.5deg,2.5,0.69,7.59,0.36
Pool,blouse_navy_5deg,5,1.17,7.52,0.56
Pool,blouse_navy_7.5deg,7.5,1.67,7.73,0.75
Pool,blouse_navy_10deg,10,2.57,7.43,1.03
Pool,blouse_navy_12.5deg,12.5,3.02,7.4,1.11
Pool,blouse_navy_15deg,15,3.25,7.53,1.14
Pool,dress_pink_0deg,0,0.13,9.9,0.09
Pool,dress_pink_2.5deg,2.5,1.37,10.19,0.26
Pool,dress_pink_5deg,5,2.67,10.63,0.41
Pool,dress_pink_7.5deg,7.5,3.97,11.24,0.52
Pool,dress_pink_10deg,10,6.77,12.86,0.79
Pool,dress_pink_12.5deg,12.5,8.2,13.94,0.88
Pool,dress_pink_15deg,15,9.68,15.02,1.01
