домен	платформа	канал	запитів	знайдено	не_картки	прийнято	відхилено	фото%	колір%	склад%	розміри%	опис%	заміри%	жін	чол	уні	с	стан
25union.com.ua	OpenCart	мапа сайту	107	2386	13	0	164	0	0	0	0	0	0	0	0	0	1224	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
ager.ua	OpenCart	мапа сайту	24	469	2	0	8	0	0	0	0	0	0	0	0	0	1516	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
alot.com.ua	невідомо	мапа сайту	47	527	24	1	13	100	100	100	100	100	0	1	0	0	1281	СТЕЛЯ ЧАСУ МАГАЗИНУ: 1 речей за 20 хв
andretan.ua	невідомо	мапа сайту	205	2345	18	172	11	100	2	0	98	95	0	172	0	0	1202	СТЕЛЯ ЧАСУ МАГАЗИНУ: 172 речей за 20 хв
arber.ua	Bitrix	мапа сайту	90	3358	1	0	87	0	0	0	0	0	0	0	0	0	1217	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
attico.ua	generator:WordPress 7.1+WordPress/Woo	woo	30	2100	0	152	1	100	100	100	89	100	0	128	21	0	1242	СТЕЛЯ ЧАСУ МАГАЗИНУ: 152 речей за 20 хв
bella-bicchi.com	Bitrix	мапа сайту	45	1601	24	0	0	0	0	0	0	0	0	0	0	0	1238	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
bezet.com.ua	невідомо	мапа сайту	2	28575	4	2	0	100	100	0	0	50	0	0	2	0	1517	СТЕЛЯ ЧАСУ МАГАЗИНУ: 2 речей за 20 хв
brenda.ua	OpenCart	мапа сайту	19	1092	0	6	0	100	0	100	100	100	0	6	0	0	1223	СТЕЛЯ ЧАСУ МАГАЗИНУ: 6 речей за 20 хв
cher17.com	невідомо	мапа сайту	74	526	21	2	37	100	0	0	100	0	0	2	0	0	1253	СТЕЛЯ ЧАСУ МАГАЗИНУ: 2 речей за 20 хв
cooshwear.com	невідомо	мапа сайту	10	697	2	1	0	100	100	100	0	100	0	1	0	0	2061	СТЕЛЯ ЧАСУ МАГАЗИНУ: 1 речей за 20 хв
cultboutique.com.ua	generator:OkayCMS 3.8.1	мапа сайту	20	9539	3	0	12	0	0	0	0	0	0	0	0	0	2590	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
devari.com.ua	OpenCart	розділи	31	108	3	0	0	0	0	0	0	0	0	0	0	0	1259	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
diadia.ua	OpenCart	мапа сайту	49	853	12	6	12	100	100	100	100	100	0	6	0	0	1224	СТЕЛЯ ЧАСУ МАГАЗИНУ: 6 речей за 20 хв
dolcedonna.com.ua	OpenCart	мапа сайту	53	1086	0	28	8	100	0	75	86	75	0	28	0	0	1225	СТЕЛЯ ЧАСУ МАГАЗИНУ: 28 речей за 20 хв
emmeliedelage.com	Хорошоп	мапа сайту	506	546	467	0	28	0	0	0	0	0	0	0	0	0	1596	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
favoriteshoes.com.ua	невідомо	мапа сайту	17	4401	8	0	1	0	0	0	0	0	0	0	0	0	1217	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
feelyou.com.ua	generator:WordPress 6.4.10+WordPress/Woo	woo	23	500	0	160	76	100	100	79	100	94	0	160	0	0	1400	СТЕЛЯ ЧАСУ МАГАЗИНУ: 160 речей за 20 хв
friendsoffashion.com.ua	невідомо	нема	19	0	0	0	0	0	0	0	0	0	0	0	0	0	15	нуль прийнятих
