домен	платформа	канал	запитів	знайдено	не_картки	прийнято	відхилено	фото%	колір%	склад%	розміри%	опис%	заміри%	жін	чол	уні	с	стан
25union.com.ua	OpenCart	мапа сайту	24	3	3	0	0	0	0	0	0	0	0	0	0	0	21	нуль прийнятих
ager.ua	OpenCart	мапа сайту	45	3	3	0	0	0	0	0	0	0	0	0	0	0	39	нуль прийнятих
alot.com.ua	невідомо	мапа сайту	6	3	2	0	1	0	0	0	0	0	0	0	0	0	7	нуль прийнятих
andretan.ua	невідомо	мапа сайту	6	3	0	3	0	100	0	0	100	33	0	3	0	0	7	ок
arber.ua	Bitrix	мапа сайту	8	3	2	0	2	0	0	0	0	0	0	0	0	0	8	нуль прийнятих
attico.ua	generator:WordPress 7.1+WordPress/Woo	woo	3	100	0	1	2	100	100	100	100	100	0	1	0	0	6	ок
bella-bicchi.com	Bitrix	мапа сайту	10	3	3	0	0	0	0	0	0	0	0	0	0	0	15	нуль прийнятих
bezet.com.ua	невідомо	мапа сайту	2	3	3	0	0	0	0	0	0	0	0	0	0	0	147	нуль прийнятих
brenda.ua	OpenCart	мапа сайту	11	3	0	3	0	100	0	100	100	100	0	3	0	0	21	ок
cher17.com	невідомо	мапа сайту	6	3	1	0	2	0	0	0	0	0	0	0	0	0	10	нуль прийнятих
cooshwear.com	невідомо	мапа сайту	6	3	3	0	0	0	0	0	0	0	0	0	0	0	4	нуль прийнятих
cultboutique.com.ua	generator:OkayCMS 3.8.1	мапа сайту	11	3	2	0	2	0	0	0	0	0	0	0	0	0	25	нуль прийнятих
devari.com.ua	OpenCart	розділи	25	3	3	0	0	0	0	0	0	0	0	0	0	0	19	нуль прийнятих
diadia.ua	OpenCart	мапа сайту	9	3	0	3	0	100	100	100	100	100	0	3	0	0	43	ок
dolcedonna.com.ua	OpenCart	мапа сайту	8	3	1	2	0	100	0	100	100	50	0	2	0	0	8	ок
emmeliedelage.com	Хорошоп	мапа сайту	8	3	3	0	0	0	0	0	0	0	0	0	0	0	9	нуль прийнятих
favoriteshoes.com.ua	невідомо	мапа сайту	6	3	3	0	0	0	0	0	0	0	0	0	0	0	5	нуль прийнятих
feelyou.com.ua	generator:WordPress 6.4.10+WordPress/Woo	woo	3	100	0	0	3	0	0	0	0	0	0	0	0	0	6	нуль прийнятих
