дата	домен	сімейство	транспорт	адрес_знайдено	відкрито	карток	нижче_порогу	неповна_розбірка	російських	не_картка	збоїв	середній_бал	секунд	нотатка
2026-09-07	pitaya.ua	shopify	http	0	0	0	0	0	0	0	1		4	стор. 1: Expecting value: line 1 column 1 (char 0); 
2026-09-07	jecomestudio.com	shopify	http	65	65	45	20	0	0	0	0	12.6	5	
2026-09-07	wearme.ua	shopify	http	300	300	299	1	0	0	0	0	16.0	9	стеля 300; 
2026-09-07	nyni.shop	shopify	http	166	166	166	0	0	0	0	0	11.6	5	
2026-09-07	honchstudio.com	shopify	http	300	300	269	31	0	0	0	0	14.3	6	стеля 300; 
2026-09-07	sunwin-store.com	woo	http	300	300	300	0	0	0	0	0	21.8	9	стеля 300; 
2026-09-07	morandi.ua	woo	http	300	300	291	9	0	0	0	0	15.8	11	стеля 300; 
2026-09-07	attico.ua	woo	http	300	300	226	74	0	0	0	0	15.8	15	стеля 300; 
2026-09-07	likeangel.com.ua	woo	http	300	300	300	0	0	0	0	0	17.0	11	стеля 300; 
2026-09-07	feelyou.com.ua	woo	http	300	300	290	10	0	0	0	0	16.8	15	стеля 300; 
2026-09-07	maxa.ua	woo	http	0	0	0	0	0	0	0	1		30	стор. 1: APIRequestContext.get: Timeout 30000ms exceeded.
Call log:
 ; 
2026-09-07	giardini-shoes.com	horoshop	браузер	422	158	158	0	0	0	0	0	16.2	901	бюджет 900 с вичерпано
2026-09-07	fromus.ua	horoshop	браузер	1028	145	145	0	0	0	0	0	18.4	902	бюджет 900 с вичерпано
2026-09-07	emmeliedelage.com	horoshop	браузер	501	138	138	0	0	0	0	0	17.9	901	бюджет 900 с вичерпано
2026-09-07	sezone.ua	horoshop	браузер	258	258	256	2	0	0	0	0	18.4	792	
2026-09-07	yulashop.com.ua	horoshop	браузер	334	221	200	3	0	18	0	0	15.1	902	бюджет 900 с вичерпано
2026-09-07	ricamare.com.ua	horoshop	браузер	738	190	155	0	0	35	0	0	17.7	902	бюджет 900 с вичерпано
2026-09-07	otaje.com	api	http	41	41	0	0	0	0	41	0		188	api→список; 
2026-09-07	friendsoffashion.com.ua	api	http	0	0	0	0	0	0	0	0		52	api→список; 
2026-09-07	kasandra.ua	horoshop	браузер	416	146	131	15	0	0	0	0	15.0	901	бюджет 900 с вичерпано
2026-09-07	gepur.com	api	браузер	0	0	0	0	0	0	0	0		38	api→список; 
2026-09-07	vilni.store	horoshop	браузер	1500	202	175	27	0	0	0	0	14.4	904	бюджет 900 с вичерпано
2026-09-07	cooshwear.com	api	http	375	213	210	3	0	0	0	0	14.8	909	бюджет 900 с вичерпано
2026-09-07	diadia.ua	список	браузер	175	175	175	0	0	0	0	0	19.6	765	
2026-09-07	25union.com.ua	список	браузер	1364	204	175	29	0	0	0	0	17.5	903	бюджет 900 с вичерпано
2026-09-07	rito.ua	список	браузер	338	266	266	0	0	0	0	0	18.0	902	бюджет 900 с вичерпано
2026-09-07	onebyone.ua	список	браузер	896	55	0	35	0	0	20	0	9.2	900	бюджет 900 с вичерпано
2026-09-07	dolcedonna.com.ua	список	браузер	755	141	141	0	0	0	0	0	17.0	904	бюджет 900 с вичерпано
2026-09-07	devari.com.ua	список	браузер	0	0	0	0	0	0	0	0		31	
2026-09-07	stolyarchuk.com.ua	список	браузер	355	202	188	13	0	0	1	0	14.9	902	бюджет 900 с вичерпано
2026-09-07	natali-style.com.ua	список	браузер	97	97	17	67	0	0	13	0	10.4	643	
2026-09-07	vovk.com	список	браузер	12	12	11	1	0	0	0	0	18.2	93	
2026-09-07	brenda.ua	список	браузер	374	255	250	5	0	0	0	0	14.4	902	бюджет 900 с вичерпано
2026-09-07	sarahberlin.com	список	браузер	123	123	120	3	0	0	0	0	14.4	315	
2026-09-07	vmma.com.ua	список	браузер	275	101	101	0	0	0	0	0	21.1	904	бюджет 900 с вичерпано
2026-09-07	welfare.ua	список	браузер	971	144	122	22	0	0	0	0	13.6	902	бюджет 900 с вичерпано
2026-09-07	natalibolgar.com	список	браузер	161	123	123	0	0	0	0	0	19.0	908	бюджет 900 с вичерпано
2026-09-07	bella-bicchi.com	список	браузер	386	87	86	1	0	0	0	0	20.3	905	бюджет 900 с вичерпано
2026-09-07	vittorossi.ua	список	браузер	400	99	0	99	0	0	0	0	9.0	900	бюджет 900 с вичерпано
2026-09-07	miraton.ua	список	браузер	339	136	77	58	0	1	0	0	11.1	903	бюджет 900 с вичерпано
2026-09-07	solmar.com.ua	список	браузер	513	86	3	83	0	0	0	0	14.8	906	бюджет 900 с вичерпано
2026-09-07	andretan.ua	список	браузер	7	7	0	7	0	0	0	0	7.0	54	
2026-09-07	yakfaino.com	список	браузер	65	65	26	39	0	0	0	0	7.6	459	
2026-09-07	twice.com.ua	список	браузер	456	132	132	0	0	0	0	0	20.3	901	бюджет 900 с вичерпано
2026-09-07	provenceshop.com.ua	список	браузер	18	18	18	0	0	0	0	0	16.4	61	
2026-09-07	favoriteshoes.com.ua	список	браузер	613	299	299	0	0	0	0	0	18.4	904	бюджет 900 с вичерпано
2026-09-07	alot.com.ua	список	браузер	337	300	298	2	0	0	0	0	20.7	816	стеля 300; 
2026-09-07	k.ua	список	браузер	0	0	0	0	0	0	0	0		87	
2026-09-07	cultboutique.com.ua	список	браузер	796	248	248	0	0	0	0	0	20.1	902	бюджет 900 с вичерпано
2026-09-07	maryline.ua	список	браузер	93	93	89	3	0	0	1	0	18.2	388	
2026-09-07	musthave.ua	список	браузер	572	121	0	0	0	0	121	0		900	бюджет 900 с вичерпано
