домен	база	ua_шлях	стать_типово	стан	нотатка
# колонки: домен · база · UA-шлях головної · стать_типово (жіноче/чоловіче/невідомо — коли картка не каже) · стан (увімкнено/вимкнено) · нотатка
# ── 46 магазинів каталогу 27.08 ──
25union.com.ua	https://25union.com.ua		невідомо	увімкнено	OpenCart; бренд, є унісекс/чоловіче
wearme.ua	https://wearme.ua		жіноче	увімкнено	Shopify
favoriteshoes.com.ua	https://favoriteshoes.com.ua		невідомо	увімкнено	взуття, є чоловіче
dolcedonna.com.ua	https://dolcedonna.com.ua		жіноче	увімкнено	OpenCart
gepur.com	https://gepur.com	/uk	жіноче	увімкнено	headless; фото сусіднього товару в лістингу — брати лише з картки (П2)
md-fashion.ua	https://md-fashion.ua		невідомо	увімкнено	мультибренд, є чоловіче; mainLoader.svg і чужі кольорові варіанти (П2)
welfare.ua	https://welfare.ua		невідомо	увімкнено	взуття/ремені, є чоловіче
cher17.com	https://cher17.com		жіноче	увімкнено	
vittorossi.ua	https://vittorossi.ua	/ua	невідомо	увімкнено	Bitrix; взуття, є чоловіче; v2 давав 0 прийнятих — перевірити мапою
diadia.ua	https://diadia.ua		жіноче	увімкнено	OpenCart; стікери sold-out у фото (П2)
vovk.com	https://vovk.com	/ua	жіноче	увімкнено	OpenCart; cart.svg замість фото (П2)
musthave.ua	https://musthave.ua	/ua	жіноче	увімкнено	
rito.ua	https://rito.ua		жіноче	увімкнено	OpenCart
vsisvoi.ua	https://vsisvoi.ua		невідомо	увімкнено	маркетплейс укр. брендів, є чоловічий розділ; колір зі слага надійніший за назву
brenda.ua	https://brenda.ua		жіноче	увімкнено	OpenCart
solmar.com.ua	https://solmar.com.ua	/ua	жіноче	увімкнено	Bitrix
k.ua	https://k.ua		невідомо	увімкнено	Woo; мультибренд, є чоловіче
onebyone.ua	https://onebyone.ua		невідомо	увімкнено	OpenCart
sarahberlin.com	https://sarahberlin.com	/uk	жіноче	увімкнено	
stolyarchuk.com.ua	https://stolyarchuk.com.ua		жіноче	увімкнено	OpenCart; колір у назві
maxa.ua	https://maxa.ua		жіноче	увімкнено	Woo; HTTP 422 на wp-json і пагінації 27.08 (П16) — перевірити мапою
miraton.ua	https://www.miraton.ua	/ua	невідомо	увімкнено	Bitrix; є чоловіче
cultboutique.com.ua	https://cultboutique.com.ua	/ua	невідомо	увімкнено	аксесуари, є чоловіче
likeangel.com.ua	https://likeangel.com.ua		жіноче	увімкнено	Woo
twice.com.ua	https://twice.com.ua		жіноче	увімкнено	PrestaShop
feelyou.com.ua	https://feelyou.com.ua		жіноче	увімкнено	Woo
honchstudio.com	https://honchstudio.com		невідомо	увімкнено	Shopify; головні убори, унісекс
tm-beart.com	https://www.tm-beart.com		жіноче	увімкнено	Woo; lazy.svg замість фото (П2)
jecomestudio.com	https://jecomestudio.com		невідомо	увімкнено	Shopify; взуття
vilni.store	https://vilni.store		жіноче	увімкнено	Хорошоп; розділи домальовуються JS — лише мапа (П11)
bella-bicchi.com	https://bella-bicchi.com		жіноче	увімкнено	Bitrix; верхній шар
morandi.ua	https://morandi.ua		жіноче	увімкнено	Woo
