домен	сімейство	транспорт	пошук	річ_regex	мова	картка	стан	доказ_розвідки_07-09	примітка
jecomestudio.com	shopify	http	/products.json?limit=250&page={n}		/	з JSON	чернетка	головна 200/319099Б; розділ 11 речей з ціною, 14 канд.; картка ld=True og=True ціна=False характ.=4 склад=False; sitemap 200/9/індекс; products.json 200; wc-store 400; 18.8 с	
wearme.ua	shopify	http	/products.json?limit=250&page={n}		/	з JSON	чернетка	головна 200/3959285Б; розділ 12 речей з ціною, 117 канд.; картка ld=True og=True ціна=False характ.=2 склад=False; sitemap 200/7/індекс; products.json 200; wc-store 400; 44.5 с	
pitaya.ua	shopify	http	/products.json?limit=250&page={n}		/	з JSON	чернетка	головна 200/3843929Б; розділ 0 речей з ціною, 31 канд.; картка ld=True og=True ціна=False характ.=0 склад=True; sitemap 200/4/індекс; products.json 200; wc-store 400; 20.5 с	пляжне/білизна — слоти обмежені
nyni.shop	shopify	http	/products.json?limit=250&page={n}		/uk/	з JSON	чернетка	головна 200/1442078Б; розділ 0 речей з ціною, 1 канд.; картка ld=False og=False ціна=False характ.=- склад=-; sitemap 200/9/індекс; products.json 200; wc-store 400; 30.3 с	
honchstudio.com	shopify	http	/products.json?limit=250&page={n}		/	з JSON	чернетка	головна 200/885581Б; розділ 0 речей з ціною, 9 канд.; картка ld=False og=True ціна=False характ.=11 склад=False; sitemap 200/5/індекс; products.json 200; wc-store 400; 37.3 с	аксесуари
attico.ua	woo	http	/wp-json/wc/store/v1/products?per_page=100&page={n}		/	з JSON	чернетка	головна 200/563562Б; розділ 24 речей з ціною, 25 канд.; картка ld=True og=True ціна=True характ.=24 склад=False; sitemap 200/3/індекс; products.json 404; wc-store 200; 64.2 с	1727 речей минулого разу, здебільшого сумки — стеля на складанні
sunwin-store.com	woo	http	/wp-json/wc/store/v1/products?per_page=100&page={n}		/	з JSON	чернетка	головна 200/282249Б; розділ 24 речей з ціною, 47 канд.; картка ld=True og=True ціна=True характ.=3 склад=True; sitemap 200/12/індекс; products.json 404; wc-store 200; 14.9 с	
morandi.ua	woo	http	/wp-json/wc/store/v1/products?per_page=100&page={n}		/	з JSON	чернетка	головна 200/257363Б; розділ 0 речей з ціною, 13 канд.; картка ld=True og=False ціна=False характ.=20 склад=True; sitemap 200/10/індекс; products.json 404; wc-store 200; 16.9 с	
maxa.ua	woo	http	/wp-json/wc/store/v1/products?per_page=100&page={n}		/	з JSON	чернетка	головна 200/397194Б; розділ 20 речей з ціною, 20 канд.; картка ld=False og=False ціна=True характ.=0 склад=True; sitemap 404/0; products.json 404; wc-store 200; 12.3 с	раніше 422 — то були параметри, не магазин
likeangel.com.ua	woo	http	/wp-json/wc/store/v1/products?per_page=100&page={n}		/	з JSON	чернетка	головна 200/505214Б; розділ 10 речей з ціною, 82 канд.; картка ld=True og=True ціна=False характ.=22 склад=True; sitemap 200/4/індекс; products.json 200; wc-store 200; 12.6 с	
feelyou.com.ua	woo	http	/wp-json/wc/store/v1/products?per_page=100&page={n}		/	з JSON	чернетка	головна 200/383808Б; розділ 0 речей з ціною, 6 канд.; картка ld=False og=False ціна=True характ.=2 склад=False; sitemap 404/0; products.json 404; wc-store 200; 101.3 с	повільний (101 с на 3 сторінки) — низька паралельність
giardini-shoes.com	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml	/[^/]+/\d+/$	/	og + ціна + h1 + таблиця	чернетка	головна 200/236819Б; розділ 16 речей з ціною, 41 канд.; картка ld=False og=True ціна=True характ.=7 склад=False; sitemap 200/3/індекс; products.json 404; wc-store 404; 23.1 с	взуття
fromus.ua	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml		/ua/	og + ціна + h1 + таблиця	чернетка	головна 200/383060Б; розділ 29 речей з ціною, 36 канд.; картка ld=False og=True ціна=True характ.=8 склад=True; sitemap 200/4/індекс; products.json 404; wc-store 404; 9.0 с	
emmeliedelage.com	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml	/[^/]+/$	/	og + ціна + h1 + таблиця	чернетка	головна 200/407920Б; розділ 27 речей з ціною, 31 канд.; картка ld=False og=True ціна=True характ.=0 склад=False; sitemap 200/2/індекс; products.json 404; wc-store 404; 11.1 с	картки /slug/ без id
yulashop.com.ua	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml		/	og + ціна + h1 + таблиця	чернетка	головна 200/280166Б; розділ 16 речей з ціною, 49 канд.; картка ld=False og=True ціна=True характ.=10 склад=True; sitemap 200/3/індекс; products.json 404; wc-store 404; 11.7 с	
sezone.ua	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml	/[^/]+/$	/	og + ціна + h1 + таблиця	чернетка	головна 200/198617Б; розділ 16 речей з ціною, 28 канд.; картка ld=False og=True ціна=True характ.=19 склад=False; sitemap 200/3/індекс; products.json 404; wc-store 404; 9.0 с	
ricamare.com.ua	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml		/	og + ціна + h1 + таблиця	чернетка	головна 200/246210Б; розділ 8 речей з ціною, 46 канд.; картка ld=False og=True ціна=True характ.=0 склад=False; sitemap 200/3/індекс; products.json 404; wc-store 404; 11.4 с	
kasandra.ua	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml	/[^/]+/\d+/$	/	og + ціна + h1 + таблиця	чернетка	головна 200/279303Б; розділ 16 речей з ціною, 16 канд.; картка ld=False og=True ціна=True характ.=0 склад=False; sitemap 200/2/індекс; products.json 404; wc-store 404; 10.6 с	взуття
vilni.store	horoshop	браузер	sitemap:/content/export/{домен}/catalog-sitemap*.xml	/[^/]+/$	/	og + ціна + h1 + таблиця	чернетка	головна 200/394457Б; розділ 31 речей з ціною, 64 канд.; картка ld=False og=True ціна=True характ.=0 склад=False; sitemap 200/3/індекс; products.json 404; wc-store 404; 12.7 с	
otaje.com	api	http	https://api.otaje.com/wp-json/filters/v1/products?param=true&category={розділ}		/	з JSON	чернетка	головна 200/578396Б; розділ 12 речей з ціною, 14 канд.; картка ld=False og=False ціна=False характ.=- склад=-; sitemap 200/570; products.json 404; wc-store 404; 50.5 с	600 КБ JSON на розділ; картка wc/v3/products?slug=
friendsoffashion.com.ua	api	http	https://bk.friendsoffashion.com.ua/api/items/bycat		/ua/	з JSON	чернетка	головна 200/147760Б; розділ 0 речей з ціною, 9 канд.; картка ld=False og=False ціна=True характ.=0 склад=False; sitemap 200/0; products.json 200; wc-store 200; 11.7 с	POST/параметри розділу — зняти з мережевого журналу
cooshwear.com	api	http	/_next/data/{buildId}/uk/product-category/{розділ}.json		/uk/	з JSON	чернетка	головна 200/241971Б; розділ 9 речей з ціною, 17 канд.; картка ld=True og=True ціна=True характ.=2 склад=False; sitemap 200/2103; products.json 404; wc-store 404; 30.6 с	buildId з __NEXT_DATA__ головної; є Vendure GraphQL /vendure-shop-api
gepur.com	api	браузер	/rapi/catalog-api/… (get-products-count є; список — зняти з розділу)		/uk/	з JSON	чернетка	головна 200/154984Б; розділ 0 речей з ціною, 17 канд.; картка ld=True og=False ціна=True характ.=0 склад=False; sitemap 200/1224; products.json 404; wc-store 404; 22.6 с	картка ld Product; /rapi/product-api/get-products-on-photo-by-id?id=
25union.com.ua	список	браузер	розділи з меню; пагінація ?page={n}	^/katalog/[^/]+/[^/]+/$	/	ld Product	чернетка	головна 200/219667Б; розділ 13 речей з ціною, 81 канд.; картка ld=True og=False ціна=True характ.=0 склад=False; sitemap 200/18/індекс; products.json 404; wc-store 404; 8.7 с	унісекс є
diadia.ua	список	браузер	розділи з меню		/	ld Product	чернетка	головна 200/176629Б; розділ 17 речей з ціною, 27 канд.; картка ld=True og=True ціна=True характ.=20 склад=True; sitemap 200/3/індекс; products.json 404; wc-store 404; 8.8 с	
