домен	платформа	головна_код	головна_байт	головна_заслон	головна_секунд	розділ_url	розділ_заслон	речей_на_сторінці	кандидатів_карток	пагінація	картка_url	картка_ld	картка_og	картка_ціна	картка_характеристик	картка_фото	картка_розмірів	картка_склад	назва	назва_російська	мова_html	hreflang	sitemap	products_json	wc_store	фіди	мережа_json	секунд	помилки
yakfaino.com	Weblium	200	2454711	ні	7.0	https://yakfaino.com/		40	40	/page-5	https://yakfaino.com/shop/veliki-gamanci-gamanec-meteliki-v-nochi	True	True	False	0	11	214	False	гаманець Метелики в ночі	False	uk		200/3/індекс	404/-	404/-	0	60	19.1	
giardini-shoes.com	Хорошоп	200	236819	ні	6.0	https://giardini-shoes.com/		16	41		https://giardini-shoes.com/chovnyky-zhinochi-mc-r153/11379/	False	True	True	7	86	38	False	Човники MC шкіряні сині 000401802	False	uk		200/3/індекс	404/-	404/-	0	12	23.1	
musthave.ua	Хост:cloudflare	200	805294	так	17.6	https://musthave.ua/ua/catalog/ubki	так	0	36	?page=2,?page=8+ще	https://musthave.ua/ua/product/17476-koricnevii-skiryanii-remin-z-napivkrugloyu-sribnoyu-pryazkoyu	False	False	True	4	74	245	False	Коричневий шкіряний ремінь з напівкруглою срібною пряжкою, артикул - 17476, 【MustHave ❤️】ціна - 1399 ₴	False	uk-UA	en,ru-UA,uk-UA	200/3	404/-	404/-	0	20	49.1	
andretan.ua	?	200	256408	так	14.5	https://andretan.ua/catalog/yubki	так	0	14	/page-2,/page-3,/page-4,/page-5,/page-6+ще	https://andretan.ua/products/yubka-39004p_2	True	False	True	22	18	69	True	Спідниця-39004P	False	uk	en,ru,x-default	200/2353	404/-	404/-	0	20	42.4	
jecomestudio.com	Shopify	200	319099	ні	14.3	https://jecomestudio.com/		11	14		https://jecomestudio.com/products/cowbooties_emore_black	True	True	False	4	28	539	False	Ковбойки Emore чорні	False	uk	en,uk,x-default	200/9/індекс	200/5	400/-	0	24	18.8	
favoriteshoes.com.ua	?	200	208732	ні	6.9	https://favoriteshoes.com.ua/zhinoche-vzuttia/	ні	32	40	?page=2,?page=3,?page=4,?page=5,?page=6,?page=97+ще	https://favoriteshoes.com.ua/20259-leberdes-tufl/	True	True	True	24	41	11	False	LeBERDES Туфлі 000000020259	False	uk	ru-UA,uk-UA,x-default	200/745	404/-	404/-	0	5	14.2	
attico.ua	WooCommerce,WordPress,Хост:cloudflare	200	563562	так	17.4	https://attico.ua/collection/zhinoche-vzuttia	так	24	25	/page/198,/page/2+ще	https://attico.ua/product/chereviki-meego-comf-nubuk-anato-n-kh-bl-shn-chornii-1033522	True	True	True	24	29	260	False	Черевики жіночі, ATTICO, нубук, колір чорний, 1033522	False	uk		200/3/індекс	404/-	200/5	2	20	64.2	
alot.com.ua	?	200	43614	ні	2.4	https://alot.com.ua/		12	12		https://alot.com.ua/bomber_korichneviy_z_lampasami	False	True	True	8	3	24	True	Бомбер бордо з лампасами	False	uk-UA	en,ru-RU,uk-UA,x-default	200/2142	404/-	404/-	0	0	5.5	
sunwin-store.com	WooCommerce,WordPress,Magento,Хост:cloudflare	200	282249	ні	5.2	https://www.sunwin-store.com/shop/	ні	24	47	/page/2,/page/59	https://www.sunwin-store.com/shop/dzhemper-zhinochij-napivvovnyanij-iz-gorlovinoyu-chovnik-demisezonnij-2986pd/	True	True	True	3	15	33	True	Джемпер жіночий напіввовняний із горловиною “човник” демісезонний (2986pd)	False	uk		200/12/індекс	404/-	200/5	2	3	14.9	
sarahberlin.com	OpenCart,Хост:cloudflare	200	83206	ні	4.3	https://sarahberlin.com/uk/katalog/sukny/	ні	0	24	?page=2+ще	https://sarahberlin.com/uk/kolekcziyi/vesna-summer-2026/	False	False	False							uk		200/350	200/-	200/-	0	0	27.9	картка не знайдена серед 24 кандидатів
wearme.ua	Shopify,Хост:cloudflare	200	3959285	так	23.5	https://wearme.ua/		12	117		https://wearme.ua/collections/spring-2026/products/25-25-82-15960-zhilet-korset-lion-2-15960	True	True	False	2	826	265	False	Жилет-корсет Ліон-2	False	uk		200/7/індекс	200/5	400/-	1	49	44.5	
diadia.ua	OpenCart,Хост:cloudflare	200	176629	ні	3.4	https://diadia.ua/		17	27		https://diadia.ua/futbolky-topy/top-d11972019/	True	True	True	20	27	97	True	Топ з круглим вирізом, бежевий D11972019	False	uk	en-gb,ru-ru,uk-ua	200/3/індекс	404/-	404/-	0	7	8.8	
